created_at,entry_id,temperature,humidity,moisture,field4
2020-09-11 00:38:21 WIB,4010,26.2,93.4,142,1863.79
2020-09-11 00:38:37 WIB,4011,26.2,93.5,124,1865.42
2020-09-11 00:38:53 WIB,4012,26.2,93.5,138,1865.47
2020-09-11 00:39:09 WIB,4013,26.2,93.5,122,1868.63
2020-09-11 00:39:25 WIB,4014,26.2,93.5,127,1870.42
2020-09-11 00:39:41 WIB,4015,26.2,93.5,132,1871.63
2020-09-11 00:39:57 WIB,4016,26.2,93.5,140,1872.84
2020-09-11 00:40:14 WIB,4017,26.2,93.5,145,1872.53
2020-09-11 00:40:31 WIB,4018,26.2,93.5,131,1870.84
2020-09-11 00:40:47 WIB,4019,26.2,93.5,142,1866.95
2020-09-11 00:41:03 WIB,4020,26.2,93.5,149,1865.47
2020-09-11 00:41:19 WIB,4021,26.2,94,119,1864.68
2020-09-11 00:41:35 WIB,4022,26.2,93.5,140,1867.89
2020-09-11 00:41:51 WIB,4023,26.2,93.5,139,1864.74
2020-09-11 00:42:08 WIB,4024,26.2,93.5,133,1862.79
2020-09-11 00:42:24 WIB,4025,26.2,93.5,118,1859.79
2020-09-11 00:42:41 WIB,4026,26.2,93.5,128,1859.21
2020-09-11 00:42:57 WIB,4027,26.2,93.5,137,1860.11
2020-09-11 00:43:13 WIB,4028,26.2,93.5,141,1861.68
2020-09-11 00:43:30 WIB,4029,26.1,93.9,121,1858.16
2020-09-11 00:43:46 WIB,4030,26.1,93.4,134,1857.32
2020-09-11 00:44:02 WIB,4031,26.1,93.4,132,1856.32
2020-09-11 00:44:19 WIB,4032,26.1,93.4,130,1856.63
2020-09-11 00:44:35 WIB,4033,26.1,93.5,137,1857.89
2020-09-11 00:44:51 WIB,4034,26.2,93.5,120,1856.42
2020-09-11 00:45:07 WIB,4035,26.1,93.5,126,1857.74
2020-09-11 00:45:23 WIB,4036,26.2,93.5,115,1859.47
2020-09-11 00:45:39 WIB,4037,26.1,93.5,121,1858.79
2020-09-11 00:45:56 WIB,4038,26.2,93.5,140,1859.32
2020-09-11 00:46:12 WIB,4039,26.2,93.5,126,1859.89
2020-09-11 00:46:28 WIB,4040,26.1,93.5,132,1859.37
2020-09-11 00:46:45 WIB,4041,26.1,93.5,151,1860.68
2020-09-11 00:47:01 WIB,4042,26.1,93.5,147,1862.74
2020-09-11 00:47:17 WIB,4043,26.1,93.5,128,1862.63
2020-09-11 00:47:33 WIB,4044,26.2,93.6,117,1863.47
2020-09-11 00:47:49 WIB,4045,26.1,93.5,148,1863
2020-09-11 00:48:06 WIB,4046,26.1,94,139,1862.74
2020-09-11 00:48:22 WIB,4047,26.1,93.5,120,1862.74
2020-09-11 00:48:38 WIB,4048,26.2,93.5,139,1863.21
2020-09-11 00:48:54 WIB,4049,26.2,93.5,144,1861.79
2020-09-11 00:49:10 WIB,4050,26.1,93.5,131,1861.47
2020-09-11 00:49:27 WIB,4051,26.1,93.5,131,1861.63
2020-09-11 00:49:43 WIB,4052,26.1,93.5,135,1860.84
2020-09-11 00:49:59 WIB,4053,26.1,93.5,135,1859
2020-09-11 00:50:15 WIB,4054,26.2,93.6,136,1860.26
2020-09-11 00:50:32 WIB,4055,26.1,93.5,127,1861.53
2020-09-11 00:50:48 WIB,4056,26.2,93.6,120,1857.84
2020-09-11 00:51:04 WIB,4057,26.1,94,117,1855.42
2020-09-11 00:51:21 WIB,4058,26.1,94,142,1852.37
2020-09-11 00:51:37 WIB,4059,26.2,93.6,125,1853.84
2020-09-11 00:51:53 WIB,4060,26.1,93.5,133,1858.42
2020-09-11 00:52:09 WIB,4061,26.1,93.5,149,1859.74
2020-09-11 00:52:26 WIB,4062,26.1,93.5,140,1862.84
2020-09-11 00:52:42 WIB,4063,26.2,93.5,105,1863.11
2020-09-11 00:52:58 WIB,4064,26.2,93.5,152,1861.84
2020-09-11 00:53:14 WIB,4065,26.2,93.5,144,1860.89
2020-09-11 00:53:31 WIB,4066,26.1,93.5,144,1859.47
2020-09-11 00:53:47 WIB,4067,26.2,93.5,129,1860.32
2020-09-11 00:54:03 WIB,4068,26.2,93.5,144,1857.05
2020-09-11 00:54:19 WIB,4069,26.2,93.5,144,1855.89
2020-09-11 00:54:35 WIB,4070,26.2,93.4,149,1854.16
2020-09-11 00:54:51 WIB,4071,26.2,93.4,132,1853.74
2020-09-11 00:55:07 WIB,4072,26.2,93.9,132,1854.53
2020-09-11 00:55:23 WIB,4073,26.2,93.4,126,1855.21
2020-09-11 00:55:40 WIB,4074,26.2,93.3,136,1857.37
2020-09-11 00:55:56 WIB,4075,26.2,93.3,121,1857.79
2020-09-11 00:56:12 WIB,4076,26.2,93.4,137,1855.63
2020-09-11 00:56:28 WIB,4077,26.2,93.8,138,1853
2020-09-11 00:56:44 WIB,4078,26.2,93.3,132,1849.79
2020-09-11 00:57:00 WIB,4079,26.2,93.3,113,1848.37
2020-09-11 00:57:16 WIB,4080,26.2,93.3,135,1850.11
2020-09-11 00:57:32 WIB,4081,26.2,93.8,137,1849.74
2020-09-11 00:57:48 WIB,4082,26.2,93.8,142,1850.74
2020-09-11 00:58:04 WIB,4083,26.2,93.3,136,1849.63
2020-09-11 00:58:20 WIB,4084,26.2,93.8,121,1851.63
2020-09-11 00:58:36 WIB,4085, NAN, NAN,115,1852.53
2020-09-11 00:58:52 WIB,4086,26.2,93.3,140,1854.42
2020-09-11 00:59:09 WIB,4087,26.2,93.3,147,1855.16
2020-09-11 00:59:25 WIB,4088,26.2,93.8,152,1854.74
2020-09-11 00:59:41 WIB,4089,26.2,93.8,137,1851.68
2020-09-11 00:59:58 WIB,4090,26.2,93.3,122,1853.11
2020-09-11 01:00:14 WIB,4091, NAN, NAN,125,1851.63
2020-09-11 01:00:30 WIB,4092,26.2,93.3,153,1847.37
2020-09-11 01:00:46 WIB,4093,26.2,93.3,127,1849.16
2020-09-11 01:01:02 WIB,4094,26.2,93.8,118,1851.95
2020-09-11 01:01:18 WIB,4095,26.2,93.3,124,1853.63
